"URDUA5LC.Code.or.Value","URDUA5LC.Value.Description","URDUA5LC.Count","URDUA5LC.Cumulative","URDUA5LC.Skip.to.Item"
"0","At or above the detection limit",44,44,NA
"1","Below lower detection limit",2610,2654,NA
".","Missing",101,2755,NA
