"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",827,827,""
"2","No",4294,5121,"DRD370E"
".","Missing",4692,9813,""
