"WTSBA4YR.Code.or.Value","WTSBA4YR.Value.Description","WTSBA4YR.Count","WTSBA4YR.Cumulative","WTSBA4YR.Skip.to.Item"
"1366.1662625 to 100150.54861","Range of Values",946,946,NA
".","Missing",65,1011,NA
