"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","detectable result",1530,1530,NA
"1","below detectable limit",802,2332,NA
"2","detectable result and exceeds the calibrated range of assay",0,2332,NA
".","Missing",1083,3415,NA
