"CIQGPD.Code.or.Value","CIQGPD.Value.Description","CIQGPD.Count","CIQGPD.Cumulative","CIQGPD.Skip.to.Item"
"1","Yes",1,1,"CIQGPN"
"2","No",14,15,""
"7","Refused",0,15,""
"9","Don't know",0,15,""
".","Missing",913,928,""
