"DSD128HH.Code.or.Value","DSD128HH.Value.Description","DSD128HH.Count","DSD128HH.Cumulative","DSD128HH.Skip.to.Item"
"42","WORD OF MOUTH, ADVERTISEMENT",29,29,NA
".","Missing",9088,9117,NA
