"DS1TTFAT.Code.or.Value","DS1TTFAT.Value.Description","DS1TTFAT.Count","DS1TTFAT.Cumulative","DS1TTFAT.Skip.to.Item"
"0 to 28.8","Range of Values",467,467,NA
".","Missing",9295,9762,NA
