"DXXTSBMD.Code.or.Value","DXXTSBMD.Value.Description","DXXTSBMD.Count","DXXTSBMD.Cumulative","DXXTSBMD.Skip.to.Item"
"0.334 to 1.447","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
