"SSPFHPL.Code.or.Value","SSPFHPL.Value.Description","SSPFHPL.Count","SSPFHPL.Cumulative","SSPFHPL.Skip.to.Item"
"0","At or above the detection limit",22,22,NA
"1","Below lower detection limit",2306,2328,NA
".","Missing",0,2328,NA
