"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.07 to 1.54","Range of Values",3015,3015,NA
".","Missing",190,3205,NA
