"DR2TPOTA.Code.or.Value","DR2TPOTA.Value.Description","DR2TPOTA.Count","DR2TPOTA.Cumulative","DR2TPOTA.Skip.to.Item"
"0 to 10732","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
