"DR1TALCO.Code.or.Value","DR1TALCO.Value.Description","DR1TALCO.Count","DR1TALCO.Cumulative","DR1TALCO.Skip.to.Item"
"0 to 550.1","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
