"DS1ISELE.Code.or.Value","DS1ISELE.Value.Description","DS1ISELE.Count","DS1ISELE.Cumulative","DS1ISELE.Skip.to.Item"
"1 to 500","Range of Values",1246,1246,NA
".","Missing",4660,5906,NA
