"WBXF091.Code.or.Value","WBXF091.Value.Description","WBXF091.Count","WBXF091.Cumulative","WBXF091.Skip.to.Item"
"5039.6842 to 5039.6842","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
