"BPQ050E.Code.or.Value","BPQ050E.Value.Description","BPQ050E.Count","BPQ050E.Cumulative","BPQ050E.Skip.to.Item"
"1","Yes",328,328,NA
"2","No",74,402,NA
"7","Refused",0,402,NA
"9","Don't know",0,402,NA
".","Missing",5642,6044,NA
