"LBCD04.Code.or.Value","LBCD04.Value.Description","LBCD04.Count","LBCD04.Cumulative","LBCD04.Skip.to.Item"
"0.21 to 65.2","Range of Values",247,247,NA
".","Missing",17,264,NA
