"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 110","Range of Values",1766,1766,NA
"666","No response",1,1767,NA
"888","Could not obtain",1,1768,NA
".","Missing",121,1889,NA
