"DRD350GQ.Code.or.Value","DRD350GQ.Value.Description","DRD350GQ.Count","DRD350GQ.Cumulative","DRD350GQ.Skip.to.Item"
"1 to 9","Range of Values",462,462,NA
".","Missing",9791,10253,NA
