"SSINHBIN.Code.or.Value","SSINHBIN.Value.Description","SSINHBIN.Count","SSINHBIN.Cumulative","SSINHBIN.Skip.to.Item"
"12.422 to 395.505","Range of Values",376,376,NA
".","Missing",31,407,NA
