"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"34.6 to 48.4","Range of Values",236,236,NA
".","Missing",9102,9338,NA
