"MCQ160o.Code.or.Value","MCQ160o.Value.Description","MCQ160o.Count","MCQ160o.Cumulative","MCQ160o.Skip.to.Item"
"1","Yes",192,192,NA
"2","No",5573,5765,NA
"7","Refused",0,5765,NA
"9","Don't know",4,5769,NA
".","Missing",4001,9770,NA
