"VIXKLCD.Code.or.Value","VIXKLCD.Value.Description","VIXKLCD.Count","VIXKLCD.Cumulative","VIXKLCD.Skip.to.Item"
"0 to 18.5","Range of Values",6451,6451,NA
"88","Could not obtain",42,6493,NA
".","Missing",497,6990,NA
