"DMDEDUC2.Code.or.Value","DMDEDUC2.Value.Description","DMDEDUC2.Count","DMDEDUC2.Cumulative","DMDEDUC2.Skip.to.Item"
"1","Less Than 9th Grade",797,797,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",870,1667,NA
"3","High School Grad/GED or Equivalent",1265,2932,NA
"4","Some College or AA degree",1379,4311,NA
"5","College Graduate or above",1079,5390,NA
"7","Refused",5,5395,NA
"9","Don't Know",12,5407,NA
".","Missing",5632,11039,NA
