"TYXP240.Code.or.Value","TYXP240.Value.Description","TYXP240.Count","TYXP240.Cumulative","TYXP240.Skip.to.Item"
"-299 to -28","Range of Values",192,192,NA
".","Missing",8277,8469,NA
