"DR1IZINC.Code.or.Value","DR1IZINC.Value.Description","DR1IZINC.Count","DR1IZINC.Cumulative","DR1IZINC.Skip.to.Item"
"0 to 305.12","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
