"SXD021.Code.or.Value","SXD021.Value.Description","SXD021.Count","SXD021.Cumulative","SXD021.Skip.to.Item"
"1","Yes",4305,4305,NA
"2","No",232,4537,NA
"7","Refused",2,4539,NA
"9","Don't know",0,4539,NA
".","Missing",763,5302,NA
