"SPXNFEV7.Code.or.Value","SPXNFEV7.Value.Description","SPXNFEV7.Count","SPXNFEV7.Cumulative","SPXNFEV7.Skip.to.Item"
"432 to 6375","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
