"AUXU1K2L.Code.or.Value","AUXU1K2L.Value.Description","AUXU1K2L.Count","AUXU1K2L.Cumulative","AUXU1K2L.Skip.to.Item"
"-10 to 100","Range of Values",1766,1766,NA
"666","No response",1,1767,NA
"888","Could not obtain",1,1768,NA
".","Missing",121,1889,NA
