"URDTNE3.Code.or.Value","URDTNE3.Value.Description","URDTNE3.Count","URDTNE3.Cumulative","URDTNE3.Skip.to.Item"
"0.255 to 717.3","Range of Values",615,615,NA
".","Missing",2140,2755,NA
