"DR2ITFAT.Code.or.Value","DR2ITFAT.Value.Description","DR2ITFAT.Count","DR2ITFAT.Cumulative","DR2ITFAT.Skip.to.Item"
"0 to 208.23","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
