"URXPAR.Code.or.Value","URXPAR.Value.Description","URXPAR.Count","URXPAR.Cumulative","URXPAR.Skip.to.Item"
"0.07 to 59.7","Range of Values",2350,2350,NA
".","Missing",155,2505,NA
