"LBX118LA.Code.or.Value","LBX118LA.Value.Description","LBX118LA.Count","LBX118LA.Cumulative","LBX118LA.Skip.to.Item"
"1.6 to 319","Range of Values",2307,2307,NA
".","Missing",240,2547,NA
