"DXDTRBMC.Code.or.Value","DXDTRBMC.Value.Description","DXDTRBMC.Count","DXDTRBMC.Cumulative","DXDTRBMC.Skip.to.Item"
"121.37 to 1266.25","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
