"BPQ010.Code.or.Value","BPQ010.Value.Description","BPQ010.Count","BPQ010.Cumulative","BPQ010.Skip.to.Item"
"1","Less than 6 months ago,",4129,4129,""
"2","6 months to 1 year ago,",922,5051,""
"3","More than 1 year to 2 years ago,",460,5511,""
"4","More than 2 years ago, or",424,5935,""
"5","Never?",86,6021,"BPQ055"
"7","Refused",3,6024,"BPQ055"
"9","Don't know",16,6040,""
".","Missing",4,6044,""
