"DR2IVB2.Code.or.Value","DR2IVB2.Value.Description","DR2IVB2.Count","DR2IVB2.Cumulative","DR2IVB2.Skip.to.Item"
"0 to 16.07","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
