"DXXANFM.Code.or.Value","DXXANFM.Value.Description","DXXANFM.Count","DXXANFM.Cumulative","DXXANFM.Skip.to.Item"
"151.4 to 10626.5","Range of Values",4694,4694,NA
".","Missing",998,5692,NA
