"AUAFMANR.Code.or.Value","AUAFMANR.Value.Description","AUAFMANR.Count","AUAFMANR.Cumulative","AUAFMANR.Skip.to.Item"
"1","None",2643,2643,NA
"2","500 Hz",3,2646,NA
"3","1000 Hz",8,2654,NA
"4","2000 Hz",10,2664,NA
"5","3000 Hz",4,2668,NA
"6","4000 Hz",8,2676,NA
"7","6000 Hz",20,2696,NA
"8","8000 Hz",68,2764,NA
".","Missing",270,3034,NA
