"LBDVCFLC.Code.or.Value","LBDVCFLC.Value.Description","LBDVCFLC.Count","LBDVCFLC.Cumulative","LBDVCFLC.Skip.to.Item"
"0","detectable result",714,714,NA
"1","below detectable limit",27,741,NA
"2","detectable result and exceeds the calibrated range of assay",3,744,NA
".","Missing",705,1449,NA
