"RFXT054.Code.or.Value","RFXT054.Value.Description","RFXT054.Count","RFXT054.Cumulative","RFXT054.Skip.to.Item"
"460 to 469","Range of Values",51065,51065,NA
".","Missing",11,51076,NA
