"PFD069H.Code.or.Value","PFD069H.Value.Description","PFD069H.Count","PFD069H.Cumulative","PFD069H.Skip.to.Item"
"182 to 30295","Range of Values",110,110,NA
"66666","Since birth",3,113,NA
"77777","Refused",0,113,NA
"99999","Don't know",1,114,NA
".","Missing",9531,9645,NA
