"LBDBPBSI.Code.or.Value","LBDBPBSI.Value.Description","LBDBPBSI.Count","LBDBPBSI.Cumulative","LBDBPBSI.Skip.to.Item"
"0.009 to 2.102","Range of Values",8793,8793,NA
".","Missing",1042,9835,NA
