"DID260.Code.or.Value","DID260.Value.Description","DID260.Count","DID260.Cumulative","DID260.Skip.to.Item"
"1 to 55","Range of Values",444,444,NA
"0","Never",72,516,NA
"666","Unable to do activity (blind)",2,518,NA
"777","Refused",0,518,NA
"999","Don't know",3,521,NA
".","Missing",9301,9822,NA
