"SPAFACT.Code.or.Value","SPAFACT.Value.Description","SPAFACT.Count","SPAFACT.Cumulative","SPAFACT.Skip.to.Item"
"1.039 to 1.129","Range of Values",37661,37661,NA
".","Missing",0,37661,NA
