"MCQ260FF.Code.or.Value","MCQ260FF.Value.Description","MCQ260FF.Count","MCQ260FF.Cumulative","MCQ260FF.Skip.to.Item"
"6","Father's father",38,38,"MCQ250G"
".","Missing",9455,9493,""
