"MCQ260CI.Code.or.Value","MCQ260CI.Value.Description","MCQ260CI.Count","MCQ260CI.Cumulative","MCQ260CI.Skip.to.Item"
"9","Other",321,321,"MCQ250D"
".","Missing",9172,9493,""
