"FSD672ZW.Code.or.Value","FSD672ZW.Value.Description","FSD672ZW.Count","FSD672ZW.Cumulative","FSD672ZW.Skip.to.Item"
"1 to 9","Range of Values",93,93,NA
"77","Refused",0,93,NA
"99","Don't know",1,94,NA
".","Missing",9877,9971,NA
