"DLQ080.Code.or.Value","DLQ080.Value.Description","DLQ080.Count","DLQ080.Cumulative","DLQ080.Skip.to.Item"
"1","Yes",524,524,NA
"2","No",5966,6490,NA
"7","Refused",0,6490,NA
"9","Don't know",4,6494,NA
".","Missing",3081,9575,NA
