"LBC099LA.Code.or.Value","LBC099LA.Value.Description","LBC099LA.Count","LBC099LA.Cumulative","LBC099LA.Skip.to.Item"
"0.1 to 34.1","Range of Values",264,264,NA
".","Missing",0,264,NA
