"URDPM3LC.Code.or.Value","URDPM3LC.Value.Description","URDPM3LC.Count","URDPM3LC.Cumulative","URDPM3LC.Skip.to.Item"
"0","At or above the detection limit",2041,2041,NA
"1","Below lower detection limit",315,2356,NA
".","Missing",106,2462,NA
