"URDTRSLC.Code.or.Value","URDTRSLC.Value.Description","URDTRSLC.Count","URDTRSLC.Cumulative","URDTRSLC.Skip.to.Item"
"0","At or above the detection limit",2110,2110,NA
"1","Below lower detection limit",639,2749,NA
".","Missing",70,2819,NA
