"DR1_330Z.Code.or.Value","DR1_330Z.Value.Description","DR1_330Z.Count","DR1_330Z.Cumulative","DR1_330Z.Skip.to.Item"
"0 to 13440","Range of Values",8661,8661,NA
".","Missing",1152,9813,NA
