"SPAPOS.Code.or.Value","SPAPOS.Value.Description","SPAPOS.Count","SPAPOS.Cumulative","SPAPOS.Skip.to.Item"
"Sitting","Sitting",20,20,NA
"Standing","Standing",34837,34857,NA
"< blank >","Missing",0,34857,NA
