"DS1IKCAL.Code.or.Value","DS1IKCAL.Value.Description","DS1IKCAL.Count","DS1IKCAL.Cumulative","DS1IKCAL.Skip.to.Item"
"0.18 to 870","Range of Values",1173,1173,NA
".","Missing",4550,5723,NA
