"OHD08LAS.Code.or.Value","OHD08LAS.Value.Description","OHD08LAS.Count","OHD08LAS.Cumulative","OHD08LAS.Skip.to.Item"
"0 to 11","Range of Values",2543,2543,NA
"99","Calculation cannot be determined",257,2800,NA
".","Missing",4330,7130,NA
