"OHD29LAM.Code.or.Value","OHD29LAM.Value.Description","OHD29LAM.Count","OHD29LAM.Cumulative","OHD29LAM.Skip.to.Item"
"0 to 8","Range of Values",2431,2431,NA
"99","Calculation cannot be determined",381,2812,NA
".","Missing",4318,7130,NA
