"DUQ352.Code.or.Value","DUQ352.Value.Description","DUQ352.Count","DUQ352.Cumulative","DUQ352.Skip.to.Item"
"1","Once",22,22,NA
"2","2-5 times",54,76,NA
"3","6-19 times",57,133,NA
"4","20-49 times",36,169,NA
"5","50-99 times",23,192,NA
"6","100 times or more",47,239,NA
"77","Refused",1,240,NA
"99","Don't know",0,240,NA
".","Missing",4385,4625,NA
