"LBDTHGSI.Code.or.Value","LBDTHGSI.Value.Description","LBDTHGSI.Count","LBDTHGSI.Cumulative","LBDTHGSI.Skip.to.Item"
"1 to 219.1","Range of Values",8266,8266,NA
".","Missing",1041,9307,NA
