"DR2TVD.Code.or.Value","DR2TVD.Value.Description","DR2TVD.Count","DR2TVD.Cumulative","DR2TVD.Skip.to.Item"
"0 to 84.5","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
