"URX4TO.Code.or.Value","URX4TO.Value.Description","URX4TO.Count","URX4TO.Cumulative","URX4TO.Skip.to.Item"
"0.14 to 12.5","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
