"URXUCRSI.Code.or.Value","URXUCRSI.Value.Description","URXUCRSI.Count","URXUCRSI.Cumulative","URXUCRSI.Skip.to.Item"
"177 to 57460","Range of Values",7606,7606,NA
".","Missing",213,7819,NA
