"DRD350A.Code.or.Value","DRD350A.Value.Description","DRD350A.Count","DRD350A.Cumulative","DRD350A.Skip.to.Item"
"1","Yes",397,397,""
"2","No",2936,3333,"DRD350B"
".","Missing",5949,9282,""
