"LBXSIR.Code.or.Value","LBXSIR.Value.Description","LBXSIR.Count","LBXSIR.Cumulative","LBXSIR.Skip.to.Item"
"7 to 387","Range of Values",6372,6372,NA
".","Missing",545,6917,NA
