"SXD621.Code.or.Value","SXD621.Value.Description","SXD621.Count","SXD621.Cumulative","SXD621.Skip.to.Item"
"10 to 56","Range of Values",1318,1318,NA
"9","9 years or younger",20,1338,NA
"77","Refused",5,1343,NA
"99","Don't know",1,1344,NA
".","Missing",3452,4796,NA
