"CIQP69.Code.or.Value","CIQP69.Value.Description","CIQP69.Count","CIQP69.Cumulative","CIQP69.Skip.to.Item"
"0 to 10","Range of Values",12,12,NA
"77","Refused",0,12,NA
"99","Don't know",0,12,NA
".","Missing",916,928,NA
